"Escolha a forma de entrega","Elige un método de envío"
"Desculpe, não há formas de entrega disponível nesse momento","Disculpe, no hay método de envío disponible"
"É necessário escolher uma opção de envio","Es necesario elegir el método de envío"
"Insira seu cep","Ingrese su código postal"
"Continuar","Continuar"
"Seu pedido está sendo gerado. Por favor aguarde","Por favor, espere"
"Por favor aguarde","Por favor, espere"
"Calculando valor do frete. Por favor aguarde","Por favor, espere"
"Fechar","Cerrar"
"Não há método de entrega disponível","Disculpe, no hay método de envío disponible"
"Alterar o Cep","Cambiar código postal"
"Iniciando o Checkout Expresso do MercadoPago","Empezando con MercadoPago Express Checkout"
"Enter your shipping information for the order #","Ingrese la información del envío para el pedido #"
"Your order is now been processing","Su pedido está procesando"
"Country where your account was created","Pais que su conta no MercadoPago fue creada"
"Enabled","Activo"
"Title","Nombre"
"Chose how the checkout should be displayed","Elije la forma (en el modo convencional) de Checkout"
"Show ShopCart Express Checkout button","Mostrar el botón de Express Checkout en la cesta de compra"
"Show ShopCart Express Checkout Sidebar button","Mostrar el botón ExpressCheckout em la cesta lateral"
"Show Express Checkout Product button","Mostrar el botón ExpressCheckout en cada produto"
"Postal Code Request on Express Payment on Express Checkout","Solicite el código postal para calcular de envío"
"Allow to change postal code after the order is paid on Express Payment on Express Checkout","Permitir al cliente cambiar el código postal después de que el pago ya efectuado por el Checkout Express"
"Auto Create Invoice","Generar facturas automáticamente"
"Currency to be paid","Elija la moneda"
"URL to successful payment","URL de redireccionamiento si el pago ya ha sido aprobado"
"URL for pendind payment","URL de redireccionamiento si el pago es pendiente"
"Payment Methods what should be excluded","Seleccione los métodos de pago que MercadoPago ofrece que usted NO desea aceptar"
"Choose the maximum number of installments accepted","Elija el número máximo de cuatas que deseja parcelar"
"Choose the status of new orders","Elija el estado para nuevos pedidos"
"Choose the status of approved orders","Elija el estado si el pago es aprobado"
"Choose the status of refunded orders","Elija el estado si el pago es regresó"
"Choose the status when payment is pending","Elija el estado si el pago es pendiente"
"Choose the status when client open a mediation","Elija el estado si el pago es en disputa"
"Choose the status when payment was reject","Elija el estado si el pago es rechazado"
"Choose the status when payment was canceled","Elija el estado si el pago es cancelado"
"Debug Mode","Modo de depuración"
"Thank you for your purchase. Fill the address information for your order. ","Gracias por su compra. Ingrese la informacion de direccíon de su pedido. "
"Complete your order shipping information","Necesitamos de mas informaciones del su pedido"
"Thank you for your purchase. ","Gracias por su compra"
"To complete your order, if is not done yet, fill the address information at the address below.""Para completar su pedido, llenar la información de su dirección en la siguiente dirección."
