"//<---- MercadoEnvios---->","//<---- MercadoEnvios---->"

"MercadoEnvios - Configuration","MercadoEnvios - Configuración"
"Enable to edit specific values","Habilitar para editar valores específicos"
"Title","Titulo"
"Product attributes mapping","Mapeo de los atributos de los productos"
"Available shipping methods","Métodos de Envío Disponibles"
"Allow Specific Country","Permitir un país específico"
"Specific Country","País específico"
"Free Method","Método gratis"
"Free Shipping with Minimum Order Amount","Envío gratuito con un importe minimo en la orden"
"Minimum Order Amount for Free Shipping","Importe mínimo de la orden para realizar el envío gratuito"
"Show method if not applicable","Mostrar el método si no es aplicable"
"Displayed Error Message","Mensaje de error a mostrar"
"Log","Log"
"Debug Mode","Modo de depuración"
"Sort order","Posición"
"Shipping label download option","Opción para la descarga de las etiquetas de envío"
"Enabled","Habilitado"

"Product Attribute","Atributo de los Productos"
"Attribute Unit","Unidad del Atributo"
"Length","Largo"
"Width","Ancho"
"Height","Alto"
"Weight","Ancho"


"//XXXXXXX MercadoPago XXXXXXX","//XXXXXXX MercadoPago XXXXXXX"


"Mercado Pago - Global Configuration","Mercado Pago - Configuración Global"
"Onestepcheckout Active","Checkout de un solo paso Activado"


"Country","País"
"Category of your store","Categoria de la tienda"

"Calculate Financing Cost", "Calcular el costo de financiamiento"
"Consider Discounts","Considerar descuentos"
"Consider discount of Mercado Pago to invoicing","Considerar descuento de Mercado Pago en la facturación"
"Order Status Options","Opciones de estado de los pedidos"
"Choose the status of approved orders","Elija el estado de los pedidos para pagos Aprobados"
"Choose the status of refunded orders","Elija el estado de los pedidos para pagos Devueltos"
"Choose the status when payment is pending","Elija el estado de los pedidos para pagos Pendientes"
"Choose the status when client open a mediation","Elija el estado de los pedidos para pagos en Disputa"
"Choose the status when payment was rejected","Elija el estado de los pedidos para pagos Rechazados"
"Choose the status when payment was canceled","Elija el estado de los pedidos para pagos Cancelados"
"Choose the status when payment was charge back","Elija el estado de los pedidos para pagos con status Charge Back"

"Refund Options","Opciones de reembolso"
"Refund Available","Reembolso disponible"
"Maximum amount of partial refunds on the same order","Cantidad máxima de reembolsos parciales en la misma orden"
"Maximum amount of days until refund is not accepted","Cantidad máxima de días hasta que no se acepte el reembolso"
"Choose the status when payment was partially refunded","Elija el estado de los pedidos cuando el pago se reembolsó parcialmente"

"Developer Options","Opciones de desarrollador"
"Logs","Logs"
"Debug Mode","Modo de depuración"
"Enable to display actual error messages to frontend users (not recommended on production environment)","Habilitar para mostrar los mensajes de error de los usuarios frontend (no se recomienda en el ambiente de producción)"


"Mercado Pago - Custom Checkout","Mercado Pago - Checkout personalizado"
"Public Key","Clave pública"
"Access Token","Token de acceso"
"<span>Click to get your Access Token for: </span>
<a href="https://www.mercadopago.com/mla/account/credentials" target="_blank">Argentina</a>
<a href="https://www.mercadopago.com/mlb/account/credentials" target="_blank">Brazil</a><br>
<a href="https://www.mercadopago.com/mco/account/credentials" target="_blank">Colombia</a>
<a href="https://www.mercadopago.com/mlm/account/credentials" target="_blank">Mexico</a>
<a href="https://www.mercadopago.com/mlv/account/credentials" target="_blank">Venezuela</a>
<a href="https://www.mercadopago.com/mlc/account/credentials" target="_blank">Chile</a>
<a href="https://www.mercadopago.com/mpe/account/credentials" target="_blank">Peru</a>","
<span>Haga clic para obtener su token de acceso para: </span>
<a href="https://www.mercadopago.com/mla/account/credentials" target="_blank">Argentina</a>
<a href="https://www.mercadopago.com/mlb/account/credentials" target="_blank">Brazil</a><br>
<a href="https://www.mercadopago.com/mco/account/credentials" target="_blank">Colombia</a>
<a href="https://www.mercadopago.com/mlm/account/credentials" target="_blank">Mexico</a>
<a href="https://www.mercadopago.com/mlv/account/credentials" target="_blank">Venezuela</a>
<a href="https://www.mercadopago.com/mlc/account/credentials" target="_blank">Chile</a>
<a href="https://www.mercadopago.com/mpe/account/credentials" target="_blank">Peru</a>"


"Checkout Custom - Credit Card","Tarjeta de crédito - Checkout personalizado"
"It is a requirement that you have a SSL certificate, and the payment form to be provided under an HTTPS page.
    During the sandbox mode tests, you can operate over HTTP,
    but for homologation you'll need to acquire the certificate in case you don't have it.
    <a href="https://www.mercadopago.com.ar/developers/solutions/payments/custom-checkout/appliance-requirements/" target="_blank">Learn More</a>","
Es un requisito que usted cuente con un certificado SSL, y que el formulario de pago sea proporcionado bajo una página HTTPS.
    Durante las pruebas en modo de prueba 'Sandbox', se puede operar a través de HTTP,
    Pero para la homologación necesitará adquirir el certificado en caso de que no lo posea.
    <a href="https://www.mercadopago.com.ar/developers/solutions/payments/custom-checkout/appliance-requirements/" target="_blank">Ver más</a>"
"Allow Payment with 2 Cards","Habilitar pago con 2 tarjetas"
"Statement Descriptor","Identificación de la Tarjeta de Crédito en la Factura"
"Check availability for your country","Verificar la disponibilidad en su país"

"Binary Mode","Modo binario"
"Banner Checkout","Banner Checkout"
"Marketing - Coupon Mercado Pago","Cupon Mercado Pago - Marketing"
"Custom Message","Mensaje personalizado"
"Custom message to display in checkout","Mensaje a mostrar en el checkout"


"Checkout Custom - Ticket","Ticket - Checkout personalizado"


"Mercado Pago - Classic Checkout","Mercado Pago - Checkout clásico"
"Checkout Classic","Checkout clásico"
"Sandbox Mode","Modo Sandbox (ambiente de prueba)"
"Enable to test checkout with real credit cards. For further information check this link: <a href="https://www.mercadopago.com.ar/developers/en/solutions/payments/basic-checkout/test/basic-sandbox/" target="_blank">Basic Checkout Sandbox</a>","Habilitar para probar el checkout con tarjetas de crédito reales. Ver más: <a href="https://www.mercadopago.com.ar/developers/es/solutions/payments/basic-checkout/test/basic-sandbox/" target="_blank">Sandbox de Checkout básico</a>"


"Mercado Pago - Recurring Payments Checkout","Mercado Pago - Checkout de pagos recurrentes"

"It is necessary to configure the Public Key and Access Token for its proper functioning","Es necesario configurar la Clave pública y el Token de Acceso para su correcto funcionamiento"
"It is necessary to configure necessary the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in this section for its proper functioning","Es necesario configurar las credenciales 'CLIENT_ID' y 'CLIENT_SECRET' dentro de esta sección para su correcto funcionamiento"


"Back Url","URL de redirección"
"URL to redirect the user when the pre-approval is authorized","URL para redirigir al usuario cuando la aprobación previa se autoriza"
"Enable to test checkout with real credit cards","Habilitar para probar el checkout con tarjetas de crédito reales"


"Credit Card - Mercado Pago","Tarjetas de crédito - Mercado Pago"

"Mercado Pago Custom - Credit Card","Mercado Pago Custom - Tarjeta de Crédito"
"Payment Title","Título"

"Checkout Position","Posición en el Checkout"
"To manage the status available go to System > Order Statuses","Para gerenciar los estados disponibles vaya a 'System > Order Statuses'"

"Mercado Pago Custom - Ticket","Mercado Pago Custom - Tickets de pago"

"Mercado Pago Standard - Credit Card, Ticket and Account Money","Mercado Pago Standard - Tarjetas, Tickets y Dinero en Cuenta"

"Type Checkout","Tipo de Checkout"
"Auto Redirect","Auto-Redireccionar"
"Exclude Payment Methods","Excluir Medios de Pago"
"Maximum number of accepted installments","Numero maximo de cuotas"
"Width Checkout Iframe","Ancho de la zona del Checkout (Iframe)"
"Height Checkout Iframe","Alto de la zona del Checkout (Iframe)"
"Auto-redirect the buyer when finishing the payment.","Auto-Redireccionar al comprador al finalizar el pago."
"Select payment methods not accepted","Seleccione los medios de pago no aceptados"


"Card Number","Número de Tarjeta"
"Month","Mes"
"Year","Año"
"Card Holder Name","Titular de la Tarjeta"
"Document Type", "Tipo de documento"
"Document Number","Número de Documento"
"CVV","Código de Seguridad"
"Installments","Cuotas"
"Banks","Bancos"

"Enter the card number","Digite el número de tarjeta"
"Select Installments","Elija las cuotas"
"Validating Data","Validando datos"
"An error has occurred. Please refresh the page.","Ocurrio un error. Por favor, actualice la página."
"Card number is invalid.","Número de Tarjeta inválido."
"CVV is invalid.","Código de Seguridad inválido."
"Card Holder Name is invalid.","Nombre de titular de tarjeta inválido."
"Document Number is invalid.","Número de Documento inválido."
"Document Type is invalid.","Tipo de Documento inválido."
"Year is invalid.","Año inválido."
"Month is invalid.","Mes inválido."
"Please validate your data.","Por favor, valide los datos"
"Cannot pay this amount with this payment_method_id.","No se puede pagar esta monto con este medio de pago."

"Card Number: %s","Número de Tarjeta: %s"
"Card Holder Name: %s","Titular de la Tarjeta: %s"
"Payment Method: %s","Medio de pago: %s"
"Expiration Date: %s","Fecha de Expiración: %s"
"Installments: %s","Cuotas: %s"
"Statement Descriptor: %s","Identificación en la Factura de la Tarjeta de Crédito: %s"
"Payment Id (Mercado Pago): %s","Número de Pago (Mercado Pago): %s"



"Mercado Pago Payment Id: %s","Id transacción Mercado Pago: %s"
"Payment Status: approved","Estado del Pago: Aprobado"
"Payment Status: in_process", "Estado del Pago: en proceso"
"Payment Status: rejected", "Estado del Pago: rechazado"
"Payment Detail: accredited","Detalle del Pago: acreditado"
"Payment Detail: pending_contingency","Detalle del Pago: pendiente"
"Payment Detail: cc_rejected_call_for_authorize","Detalle del Pago: Tarjeta de crédito rechazada. Llamar para autorizar."
"Payment Detail: cc_rejected_insufficient_amount","Detalle del Pago: Tarjeta de crédito rechazada por monto insuficiente."
"Payment Detail: cc_rejected_bad_filled_security_code","Detalle del Pago: Tarjeta de crédito rechazada por código de seguridad."
"Payment Detail: cc_rejected_bad_filled_other","Detalle del Pago: Tarjeta de crédito rechazada por error en formulario."
"Payment Detail: cc_rejected_other_reason","Detalle del Pago: Rechazo general"
"Payment Detail: cc_rejected_bad_filled_date","Detalle del Pago: Tarjeta de crédito rechazada por fecha de expiración."


"Click on the link to generate the ticket","Clique en el link para mostrar el ticket de pago"
"Generate Ticket","Generar ticket de pago"

"Payment Method","Medio de pago"

"Generate the ticket and pay it wherever you want.","Genere el ticket de pago y pague."
"Will be approved within 2 business days.","Se aprobará dentro de 2 días hábiles."



"Thank you for your purchase!","Gracias por su compra!"
"Your order %s has been successfully generated.","Su pedido con el número %s fue generado con éxito."
"Done, your payment was accredited!","¡Listo, se acreditó tu pago!"
"We are processing the payment.","Estamos procesando el pago."
"In less than 2 business days we will tell you by e-mail if it is accredited or if we need more information.","Estamos procesando el pago. En menos de 2 días hábiles te avisaremos por e-mail si se acreditó o si necesitamos más información."
"In less than an hour we will send you by e-mail the result.","Estamos procesando el pago. En menos de una hora te avisaremos por e-mail el resultado."

"Check the card number.","Revisa el número de la tarjeta."
"Check the expiration date.","Revisa la fecha de vencimiento."
"Check the data.","Revisa los datos."
"Check the security code.","Revisa el código de seguridad."
"We could not process your payment.","No pudimos procesar tu pago."

"You must authorize to %s the payment of $ %s to Mercado Pago.","Debes llamar y autorizar ante %s el pago de $ %s a Mercado Pago."
