"Escolha a forma de entrega","Elija un método de envío"
"Desculpe, não há formas de entrega disponível nesse momento","Disculpe, no hay método de envío disponible"
"É necessário escolher uma opção de envio","Es necesario elegir el método de envío"
"Insira seu cep","Ingrese su código postal"
"Continuar","Continuar"
"Seu pedido está sendo gerado. Por favor aguarde","Su pedido está siendo generado. Por favor espere"
"Por favor aguarde","Por favor espere"
"Calculando valor do frete. Por favor aguarde","Calculando costo de envío. Por favor espere"
"Fechar","Cerrar"
"Não há método de entrega disponível","Disculpe, no hay método de envío disponible"
"Alterar o Cep","Cambiar código postal"
"Iniciando o Checkout Expresso do MercadoPago","Empezando con MercadoPago Checkout Express"
"Enter your shipping information for the order #","Ingrese la información de envío para el pedido #"
"Your order is now been processing","Su pedido está siendo procesada"
"Country where your account was created","Pais en el que su cuenta de MercadoPago fue creada"
"Enabled","Activo"
"Title","Nombre"
"Chose how the checkout should be displayed","Elija la forma de Checkout"
"Allow Express Checkout","Permitir Checkout Express"
"Postal Code Request on Express Payment on Express Checkout","Requerir el código postal para calcular de envío"
"Allow to change postal code after the order is paid on Express Payment on Express Checkout","Permitir al cliente cambiar el código postal después que la orden fué pagada con Pago Express en Checkout Express"
"Auto Create Invoice","Generar facturas automáticamente"
"Currency to be paid","Elija la moneda"
"URL to successful payment","URL de redireccionamiento para pagos aprobados"
"URL for pendind payment","URL de redireccionamiento para pagos pendientes"
"Payment Methods what should be excluded","Métodos de pago que usted NO desea aceptar"
"Choose the maximum number of installments accepted","Elija el número máximo de cuotas que desea aceptar"
"Choose the status of new orders","Elija el estado para nuevos pedidos"
"Choose the status of approved orders","Elija el estado de las ordenes aprobadas"
"Choose the status of refunded orders","Elija el estado si la orden es devuelta (refund)"
"Choose the status when payment is pending","Elija el estado si el pago está pendiente"
"Choose the status when client open a mediation","Elija el estado cuando el cliente abre una mediación"
"Choose the status when payment was reject","Elija el estado si el pago es rechazado"
"Choose the status when payment was canceled","Elija el estado si el pago es cancelado"
"Debug Mode","Modo de depuración"
